City,State,County,FIPS
North Richland Hills city,Texas,Tarrant County,48439
St. Joseph city,Missouri,Buchanan County,29021
St. Cloud city,Florida,Osceola County,12097
Jacksonville city,North Carolina,Onslow County,37133
Walnut Creek city,California,Contra Costa County,06013
Eastvale city,California,Riverside County,06065
Passaic city,New Jersey,Passaic County,34031
Conway city,Arkansas,Faulkner County,05045
Gaithersburg city,Maryland,Montgomery County,24031
Weston city,Florida,Broward County,12011
Grand Junction city,Colorado,Mesa County,08077
Dublin city,California,Alameda County,06001
Ocala city,Florida,Marion County,12083
Commerce City city,Colorado,Adams County,08001
Delray Beach city,Florida,Palm Beach County,12099
Camarillo city,California,Ventura County,06111
Shawnee city,Kansas,Johnson County,20091
Portland city,Maine,Cumberland County,23005
Idaho Falls city,Idaho,Bonneville County,16019
Schenectady city,New York,Schenectady County,36093
Jackson city,Tennessee,Madison County,47113
Baldwin Park city,California,Los Angeles County,06037
Canton city,Ohio,Stark County,39151
Yuba City city,California,Sutter County,06101
Madera city,California,Madera County,06039
Ames city,Iowa,Story County,19169
Casa Grande city,Arizona,Pinal County,04021
Decatur city,Illinois,Macon County,17115
Lodi city,California,San Joaquin County,06077
Rockville city,Maryland,Montgomery County,24031
Haverhill city,Massachusetts,Essex County,25009
Greenwood city,Indiana,Johnson County,18081
Rowlett city,Texas,Dallas County,48113
Rowlett city,Texas,Rockwall County,48397
Redondo Beach city,California,Los Angeles County,06037
Novi city,Michigan,Oakland County,26125
Palo Alto city,California,Santa Clara County,06085
Gary city,Indiana,Lake County,18089
Waterloo city,Iowa,Black Hawk County,19013
Alpharetta city,Georgia,Fulton County,13121
Oshkosh city,Wisconsin,Winnebago County,55139
Eagan city,Minnesota,Dakota County,27037
Davis city,California,Yolo County,06113
Huntersville town,North Carolina,Mecklenburg County,37119
Sanford city,Florida,Seminole County,12117
Union City city,New Jersey,Hudson County,34017
Pflugerville city,Texas,Travis County,48453
Pflugerville city,Texas,Williamson County,48491
Albany city,Georgia,Dougherty County,13095
Malden city,Massachusetts,Middlesex County,25017
Port Orange city,Florida,Volusia County,12127
Yorba Linda city,California,Orange County,06059
Sammamish city,Washington,King County,53033
Janesville city,Wisconsin,Rock County,55105
Brentwood city,California,Contra Costa County,06013
Shoreline city,Washington,King County,53033
Union City city,California,Alameda County,06001
Victoria city,Texas,Victoria County,48469
Palatine village,Illinois,Cook County,17031
Skokie village,Illinois,Cook County,17031
Waltham city,Massachusetts,Middlesex County,25017
Kyle city,Texas,Hays County,48209
Lorain city,Ohio,Lorain County,39093
Cheyenne city,Wyoming,Laramie County,56021
Parker town,Colorado,Douglas County,08035
Muncie city,Indiana,Delaware County,18035
Burnsville city,Minnesota,Dakota County,27037
Bellevue city,Nebraska,Sarpy County,31153
South San Francisco city,California,San Mateo County,06081
Kenner city,Louisiana,Jefferson Parish,22051
North Little Rock city,Arkansas,Pulaski County,05119
Richland city,Washington,Benton County,53005
Millcreek city,Utah,Salt Lake County,49035
Laguna Niguel city,California,Orange County,06059
Madison city,Alabama,Limestone County,01083
Madison city,Alabama,Madison County,01089
Chapel Hill town,North Carolina,Durham County,37063
Chapel Hill town,North Carolina,Orange County,37135
Hamilton city,Ohio,Butler County,39017
Hendersonville city,Tennessee,Sumner County,47165
Moore city,Oklahoma,Cleveland County,40027
Coon Rapids city,Minnesota,Anoka County,27003
Utica city,New York,Oneida County,36065
Lynwood city,California,Los Angeles County,06037
Porterville city,California,Tulare County,06107
Palm Beach Gardens city,Florida,Palm Beach County,12099
Wellington village,Florida,Palm Beach County,12099
Bossier City city,Louisiana,Bossier Parish,22015
Marietta city,Georgia,Cobb County,13067
Westfield city,Indiana,Hamilton County,18057
Jupiter town,Florida,Palm Beach County,12099
Woodland city,California,Yolo County,06113
Wylie city,Texas,Collin County,48085
Wylie city,Texas,Dallas County,48113
Wylie city,Texas,Rockwall County,48397
Eden Prairie city,Minnesota,Hennepin County,27053
Apopka city,Florida,Orange County,12095
Lakewood city,Washington,Pierce County,53053
Council Bluffs city,Iowa,Pottawattamie County,19155
San Clemente city,California,Orange County,06059
Santa Cruz city,California,Santa Cruz County,06087
White Plains city,New York,Westchester County,36119
Pontiac city,Michigan,Oakland County,26125
Marana town,Arizona,Pima County,04019
Marana town,Arizona,Pinal County,04021
Herriman city,Utah,Salt Lake County,49035
North Miami city,Florida,Miami-Dade County,12086
Bristol city,Connecticut,Hartford County,09003
Vineland city,New Jersey,Cumberland County,34011
Corvallis city,Oregon,Benton County,41003
Taunton city,Massachusetts,Bristol County,25005
Bentonville city,Arkansas,Benton County,05007
Taylor city,Michigan,Wayne County,26163
St. Peters city,Missouri,St. Charles County,29183
La Habra city,California,Orange County,06059
Burlington city,North Carolina,Alamance County,37001
Burlington city,North Carolina,Guilford County,37081
Blue Springs city,Missouri,Jackson County,29095
Little Elm city,Texas,Denton County,48121
Springfield city,Oregon,Lane County,41039
Encinitas city,California,San Diego County,06073
Dearborn Heights city,Michigan,Wayne County,26163
Stonecrest city,Georgia,DeKalb County,13089
Meriden city,Connecticut,New Haven County,09009
La Mesa city,California,San Diego County,06073
Revere city,Massachusetts,Suffolk County,25025
Owensboro city,Kentucky,Daviess County,21059
Margate city,Florida,Broward County,12011
Montebello city,California,Los Angeles County,06037
Hanford city,California,Kings County,06031
Eagle Mountain city,Utah,Utah County,49049
Kannapolis city,North Carolina,Cabarrus County,37025
Kannapolis city,North Carolina,Rowan County,37159
Gilroy city,California,Santa Clara County,06085
Smyrna town,Tennessee,Rutherford County,47149
Smyrna town,Tennessee,Williamson County,47187
Weymouth Town city,Massachusetts,Norfolk County,25021
Kokomo city,Indiana,Howard County,18067
Great Falls city,Montana,Cascade County,30013
Euless city,Texas,Tarrant County,48439
Winter Haven city,Florida,Polk County,12105
San Rafael city,California,Marin County,06041
Medford city,Massachusetts,Middlesex County,25017
Grand Forks city,North Dakota,Grand Forks County,38035
West Allis city,Wisconsin,Milwaukee County,55079
Coconut Creek city,Florida,Broward County,12011
Hempstead village,New York,Nassau County,36059
Beaumont city,California,Riverside County,06065
Lenexa city,Kansas,Johnson County,20091
Spring Hill city,Tennessee,Maury County,47119
Spring Hill city,Tennessee,Williamson County,47187
Petaluma city,California,Sonoma County,06097
Brookhaven city,Georgia,DeKalb County,13089
Pico Rivera city,California,Los Angeles County,06037
Hoboken city,New Jersey,Hudson County,34017
Youngstown city,Ohio,Mahoning County,39099
Youngstown city,Ohio,Trumbull County,39155
Santee city,California,San Diego County,06073
Lake Havasu City city,Arizona,Mohave County,04015
Dubuque city,Iowa,Dubuque County,19061
Gardena city,California,Los Angeles County,06037
Des Plaines city,Illinois,Cook County,17031
Casper city,Wyoming,Natrona County,56025
Cupertino city,California,Santa Clara County,06085
Lacey city,Washington,Thurston County,53067
Terre Haute city,Indiana,Vigo County,18167
Midwest City city,Oklahoma,Oklahoma County,40109
National City city,California,San Diego County,06073
Lancaster city,Pennsylvania,Lancaster County,42071
Bowie city,Maryland,Prince George's County,24033
Royal Oak city,Michigan,Oakland County,26125
Pocatello city,Idaho,Bannock County,16005
Pocatello city,Idaho,Power County,16077
Bradenton city,Florida,Manatee County,12081
Carson City,Nevada,Carson City,32510
Springfield city,Ohio,Clark County,39023
St. Clair Shores city,Michigan,Macomb County,26099
Orland Park village,Illinois,Cook County,17031
Orland Park village,Illinois,Will County,17197
Monterey Park city,California,Los Angeles County,06037
Decatur city,Alabama,Limestone County,01083
Decatur city,Alabama,Morgan County,01103
Bozeman city,Montana,Gallatin County,30031
Texas City city,Texas,Chambers County,48071
Texas City city,Texas,Galveston County,48167
Taylorsville city,Utah,Salt Lake County,49035
Sarasota city,Florida,Sarasota County,12115
Southaven city,Mississippi,DeSoto County,28033
New Brunswick city,New Jersey,Middlesex County,34023
Saratoga Springs city,Utah,Utah County,49049
Coeur d'Alene city,Idaho,Kootenai County,16055
Tigard city,Oregon,Washington County,41067
Smyrna city,Georgia,Cobb County,13067
Albany city,Oregon,Benton County,41003
Albany city,Oregon,Linn County,41043
Bonita Springs city,Florida,Lee County,12071
Kingsport city,Tennessee,Hawkins County,47073
Kingsport city,Tennessee,Sullivan County,47163
Kettering city,Ohio,Greene County,39057
Kettering city,Ohio,Montgomery County,39113
Perth Amboy city,New Jersey,Middlesex County,34023
Logan city,Utah,Cache County,49005
Wake Forest town,North Carolina,Franklin County,37069
Wake Forest town,North Carolina,Wake County,37183
DeSoto city,Texas,Dallas County,48113
Bartlett city,Tennessee,Shelby County,47157
Oak Lawn village,Illinois,Cook County,17031
Plainfield city,New Jersey,Union County,34039
Highland city,California,San Bernardino County,06071
Olympia city,Washington,Thurston County,53067
Lincoln city,California,Placer County,06061
Burleson city,Texas,Johnson County,48251
Burleson city,Texas,Tarrant County,48439
Fountain Valley city,California,Orange County,06059
West Sacramento city,California,Yolo County,06113
Anderson city,Indiana,Madison County,18095
Port Arthur city,Texas,Jefferson County,48245
Port Arthur city,Texas,Orange County,48361
Valdosta city,Georgia,Lowndes County,13185
Twin Falls city,Idaho,Twin Falls County,16083
San Jacinto city,California,Riverside County,06065
Mount Prospect village,Illinois,Cook County,17031
Peabody city,Massachusetts,Essex County,25009
Chicopee city,Massachusetts,Hampden County,25013
West Haven city,Connecticut,New Haven County,09009
Apple Valley city,Minnesota,Dakota County,27037
Berwyn city,Illinois,Cook County,17031
Tinley Park village,Illinois,Cook County,17031
Tinley Park village,Illinois,Will County,17197
Kentwood city,Michigan,Kent County,26081
Manhattan city,Kansas,Pottawatomie County,20149
Manhattan city,Kansas,Riley County,20161
Fulshear city,Texas,Fort Bend County,48157
Rocky Mount city,North Carolina,Edgecombe County,37065
Rocky Mount city,North Carolina,Nash County,37127
Arcadia city,California,Los Angeles County,06037
Yucaipa city,California,San Bernardino County,06071
Methuen Town city,Massachusetts,Essex County,25009
Pensacola city,Florida,Escambia County,12033
Wheaton city,Illinois,DuPage County,17043
Elkhart city,Indiana,Elkhart County,18039
Joplin city,Missouri,Jasper County,29097
Joplin city,Missouri,Newton County,29145
Elyria city,Ohio,Lorain County,39093
Edina city,Minnesota,Hennepin County,27053
Rockwall city,Texas,Rockwall County,48397
Galveston city,Texas,Galveston County,48167
Colton city,California,San Bernardino County,06071
Pinellas Park city,Florida,Pinellas County,12103
Placentia city,California,Orange County,06059
Normal town,Illinois,McLean County,17113
Grand Island city,Nebraska,Hall County,31079
Delano city,California,Kern County,06029
Palm Desert city,California,Riverside County,06065
West New York town,New Jersey,Hudson County,34017
Oak Park village,Illinois,Cook County,17031
Jeffersonville city,Indiana,Clark County,18019
Mooresville town,North Carolina,Iredell County,37097
Minnetonka city,Minnesota,Hennepin County,27053
Summerville town,South Carolina,Berkeley County,45015
Summerville town,South Carolina,Charleston County,45019
Summerville town,South Carolina,Dorchester County,45035
Cathedral City city,California,Riverside County,06065
Gallatin city,Tennessee,Sumner County,47165
Novato city,California,Marin County,06041
Diamond Bar city,California,Los Angeles County,06037
Middletown city,Ohio,Butler County,39017
Middletown city,Ohio,Warren County,39165
Battle Creek city,Michigan,Calhoun County,26025
Huntington Park city,California,Los Angeles County,06037
Burien city,Washington,King County,53033
Columbus city,Indiana,Bartholomew County,18005
Collierville town,Tennessee,Shelby County,47157
Everett city,Massachusetts,Middlesex County,25017
Dunwoody city,Georgia,DeKalb County,13089
Bothell city,Washington,King County,53033
Bothell city,Washington,Snohomish County,53061
Celina city,Texas,Collin County,48085
Celina city,Texas,Denton County,48121
Lebanon city,Tennessee,Wilson County,47189
Prescott Valley town,Arizona,Yavapai County,04025
Newark city,Ohio,Licking County,39089
Watsonville city,California,Santa Cruz County,06087
Grapevine city,Texas,Dallas County,48113
Grapevine city,Texas,Denton County,48121
Grapevine city,Texas,Tarrant County,48439
Florissant city,Missouri,St. Louis County,29189
Ocoee city,Florida,Orange County,12095
Paramount city,California,Los Angeles County,06037
Harrisonburg city,Virginia,Harrisonburg city,51660
Troy city,New York,Rensselaer County,36083
La Crosse city,Wisconsin,La Crosse County,55063
Mishawaka city,Indiana,St. Joseph County,18141
Milford city (balance),Connecticut,New Haven County,09009
Cuyahoga Falls city,Ohio,Summit County,39153
Hoffman Estates village,Illinois,Cook County,17031
Hoffman Estates village,Illinois,Kane County,17089
Clermont city,Florida,Lake County,12069
Murray city,Utah,Salt Lake County,49035
Fort Pierce city,Florida,St. Lucie County,12111
Harrisburg city,Pennsylvania,Dauphin County,42043
Downers Grove village,Illinois,DuPage County,17043
Enid city,Oklahoma,Garfield County,40047
Aliso Viejo city,California,Orange County,06059
Coral Gables city,Florida,Miami-Dade County,12086
Goose Creek city,South Carolina,Berkeley County,45015
Cleveland city,Tennessee,Bradley County,47011
Sherman city,Texas,Grayson County,48181
Draper city,Utah,Salt Lake County,49035
Draper city,Utah,Utah County,49049
Stillwater city,Oklahoma,Payne County,40119
Glendora city,California,Los Angeles County,06037
