county,n,class_0_n,class_1_n,class_2_n,class_3_n,class_4_n,class_5_n
48091,33,33,0,0,0,0,0
48113,645,292,3,241,0,109,0
48121,193,147,0,26,0,20,0
48135,32,22,0,0,10,0,0
48139,36,36,0,0,0,0,0
48141,188,161,0,0,0,27,0
48157,133,121,2,10,0,0,0
48167,101,85,0,7,0,9,0
48181,30,29,0,1,0,0,0
48183,30,30,0,0,0,0,0
48187,41,38,0,2,1,0,0
48201,1115,701,22,336,0,56,0
48203,16,16,0,0,0,0,0
48209,46,41,0,5,0,0,0
48215,211,184,3,3,0,21,0
48245,76,68,1,7,0,0,0
48251,39,35,0,4,0,0,0
48253,5,5,0,0,0,0,0
48257,27,27,0,0,0,0,0
48273,8,7,0,1,0,0,0
48303,106,60,0,0,0,46,0
48309,58,50,0,8,0,0,0
48317,1,1,0,0,0,0,0
48325,11,11,0,0,0,0,0
48329,37,23,0,0,13,1,0
48339,133,125,0,8,0,0,0
48355,96,63,2,2,1,28,0
48361,24,24,0,0,0,0,0
48367,29,29,0,0,0,0,0
48375,34,22,0,1,11,0,0
48381,32,22,0,0,8,2,0
48397,29,29,0,0,0,0,0
48409,16,16,0,0,0,0,0
48423,56,55,0,1,0,0,0
48439,449,311,2,93,1,42,0
48441,41,35,0,0,6,0,0
48451,26,24,0,1,1,0,0
48453,290,198,0,92,0,0,0
48469,25,22,0,1,2,0,0
48473,11,11,0,0,0,0,0
48479,66,47,0,1,0,18,0
48485,44,38,0,3,3,0,0
48491,135,129,1,5,0,0,0
48497,16,16,0,0,0,0,0
49005,27,24,0,3,0,0,0
49011,66,56,0,5,2,3,0
49035,251,150,0,26,3,72,0
49049,155,113,1,8,2,31,0
49053,32,31,0,0,1,0,0
49057,58,49,1,5,1,2,0
51510,48,0,0,44,0,4,0
51550,61,0,0,61,0,0,0
51650,35,0,0,31,0,4,0
51660,11,0,0,0,11,0,0
51680,23,0,0,23,0,0,0
51700,47,0,0,43,0,4,0
51710,80,0,0,73,0,7,0
51740,31,0,0,28,0,3,0
51760,75,0,0,75,0,0,0
51770,25,0,0,25,0,0,0
51800,36,0,0,36,0,0,0
51810,111,0,0,108,0,3,0
53005,43,36,0,2,5,0,0
53011,115,67,1,47,0,0,0
53021,21,17,2,0,0,2,0
53033,492,143,4,345,0,0,0
53053,192,115,2,75,0,0,0
53061,171,95,0,76,0,0,0
53063,130,96,0,32,0,2,0
53067,61,47,1,13,0,0,0
53073,53,46,0,7,0,0,0
53077,54,42,0,5,7,0,0
55009,58,0,13,43,0,2,0
55015,11,0,8,0,0,3,0
55017,12,12,0,0,0,0,0
55025,123,0,41,78,2,2,0
55035,22,20,1,1,0,0,0
55059,42,0,9,16,0,17,0
55063,28,23,1,4,0,0,0
55079,301,0,0,73,0,228,0
55087,47,0,26,6,0,15,0
55101,46,0,13,21,0,12,0
55105,41,0,41,0,0,0,0
55131,30,0,4,26,0,0,0
55133,98,0,1,97,0,0,0
55139,44,0,23,0,1,20,0
56021,24,23,0,0,1,0,0
56025,17,16,0,0,1,0,0
