rank,city,state,city_state,population_2025_estimate,county,county_fips,fips_city_name,fips_state_name,matched_key
39,Raleigh,NC,Raleigh_NC,506306,Wake County,37183,Raleigh city,North Carolina,Raleigh_NC
40,Colorado Springs,CO,Colorado Springs_CO,494743,El Paso County,08041,Colorado Springs city,Colorado,Colorado Springs_CO
41,Miami,FL,Miami_FL,489812,Miami-Dade County,12086,Miami city,Florida,Miami_FL
42,Omaha,NE,Omaha_NE,488797,Douglas County,31055,Omaha city,Nebraska,Omaha_NE
43,Virginia Beach,VA,Virginia Beach_VA,453737,Virginia Beach city,51810,Virginia Beach city,Virginia,Virginia Beach_VA
44,Long Beach,CA,Long Beach_CA,450469,Los Angeles County,06037,Long Beach city,California,Long Beach_CA
45,Oakland,CA,Oakland_CA,440838,Alameda County,06001,Oakland city,California,Oakland_CA
46,Minneapolis,MN,Minneapolis_MN,430324,Hennepin County,27053,Minneapolis city,Minnesota,Minneapolis_MN
47,Bakersfield,CA,Bakersfield_CA,422165,Kern County,06029,Bakersfield city,California,Bakersfield_CA
48,Tulsa,OK,Tulsa_OK,416209,Osage County,40113,Tulsa city,Oklahoma,Tulsa_OK
48,Tulsa,OK,Tulsa_OK,416209,Rogers County,40131,Tulsa city,Oklahoma,Tulsa_OK
48,Tulsa,OK,Tulsa_OK,416209,Tulsa County,40143,Tulsa city,Oklahoma,Tulsa_OK
48,Tulsa,OK,Tulsa_OK,416209,Wagoner County,40145,Tulsa city,Oklahoma,Tulsa_OK
49,Tampa,FL,Tampa_FL,413554,Hillsborough County,12057,Tampa city,Florida,Tampa_FL
50,Aurora,CO,Aurora_CO,410053,Adams County,08001,Aurora city,Colorado,Aurora_CO
50,Aurora,CO,Aurora_CO,410053,Arapahoe County,08005,Aurora city,Colorado,Aurora_CO
50,Aurora,CO,Aurora_CO,410053,Douglas County,08035,Aurora city,Colorado,Aurora_CO
51,Arlington,TX,Arlington_TX,402134,Tarrant County,48439,Arlington city,Texas,Arlington_TX
52,Wichita,KS,Wichita_KS,400987,Sedgwick County,20173,Wichita city,Kansas,Wichita_KS
53,Cleveland,OH,Cleveland_OH,363608,Cuyahoga County,39035,Cleveland city,Ohio,Cleveland_OH
54,New Orleans,LA,New Orleans_LA,362154,Orleans Parish,22071,New Orleans city,Louisiana,New Orleans_LA
55,Henderson,NV,Henderson_NV,353289,Clark County,32003,Henderson city,Nevada,Henderson_NV
